a002,ricardo-acuna,Ricardo,Acuna,http://www.atpworldtour.com/en/players/ricardo-acuna/a002/overview,CHI,"Jupiter, FL, USA","Santiago, Chile",1958.01.13,1958,01,13,0,150,68,"5'9""",69,175,,
a001,sadiq-abdullahi,Sadiq,Abdullahi,http://www.atpworldtour.com/en/players/sadiq-abdullahi/a001/overview,NGR,,,1960.02.02,1960,02,02,0,0,0,"0'0""",0,0,,
a005,nelson-aerts,Nelson,Aerts,http://www.atpworldtour.com/en/players/nelson-aerts/a005/overview,BRA,,"Cachoeira Do Sul, Brazil",1963.04.25,1963,04,25,0,165,75,"6'2""",74,188,,
a004,egan-adams,Egan,Adams,http://www.atpworldtour.com/en/players/egan-adams/a004/overview,USA,"Palmetto, FL, USA","Miami Beach, FL, USA",1959.06.15,1959,06,15,0,160,73,"5'10""",70,178,,
a006,ronald-agenor,Ronald,Agenor,http://www.atpworldtour.com/en/players/ronald-agenor/a006/overview,USA,"Beverly Hills, California, USA","Rabat, Morocco",1964.11.13,1964,11,13,1983,180,82,"5'11""",71,180,,
a007,juan-aguilera,Juan,Aguilera,http://www.atpworldtour.com/en/players/juan-aguilera/a007/overview,ESP,,"Barcelona, Spain",1962.03.22,1962,03,22,0,150,68,"6'0""",72,183,,
a012,marc-albert,Marc,Albert,http://www.atpworldtour.com/en/players/marc-albert/a012/overview,NED,,,,,,,0,0,0,"0'0""",0,0,,
a013,marco-alciati,Marco,Alciati,http://www.atpworldtour.com/en/players/marco-alciati/a013/overview,ITA,,,,,,,0,0,0,"0'0""",0,0,,
a009,richard-akel,Richard,Akel,http://www.atpworldtour.com/en/players/richard-akel/a009/overview,USA,,"Little Rock, AR, USA",1962.02.12,1962,02,12,0,0,0,"0'0""",0,0,,
a014,john-alexander,John,Alexander,http://www.atpworldtour.com/en/players/john-alexander/a014/overview,AUS,,"Sydney, NSW, Australia",1951.07.04,1951,07,04,0,180,82,"6'3""",75,191,,
a015,leighton-alfred,Leighton,Alfred,http://www.atpworldtour.com/en/players/leighton-alfred/a015/overview,GBR,,"Wales, Great Britain",1962.08.27,1962,08,27,0,160,73,"5'11""",71,180,,
a017,trevor-allan,Trevor,Allan,http://www.atpworldtour.com/en/players/trevor-allan/a017/overview,AUS,,"Maidland, Australia",1955.08.17,1955,08,17,0,170,77,"5'10""",70,178,,
a020,mehl-ampon,Mehl,Ampon,http://www.atpworldtour.com/en/players/mehl-ampon/a020/overview,USA,,"Manila, Phillipines",1956.11.30,1956,11,30,0,0,0,"0'0""",0,0,,
a018,christer-allgardh,Christer,Allgardh,http://www.atpworldtour.com/en/players/christer-allgardh/a018/overview,SWE,"Vasteras, Sweden","Boras, Sweden",1967.02.20,1967,02,20,1983,170,77,"6'3""",75,191,,
a021,anand-amritraj,Anand,Amritraj,http://www.atpworldtour.com/en/players/anand-amritraj/a021/overview,IND,,"Madras, India",1952.03.20,1952,03,20,0,170,77,"6'1""",73,185,,
