1877,1,Wimbledon,540,wimbledon,"London, Great Britain",1877.07.09,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1877/results,Spencer Gore,/en/players/spencer-gore/gi91/overview,spencer-gore,gi91,,,,,,,,
1878,1,Wimbledon,540,wimbledon,"London, Great Britain",1878.07.08,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1878/results,Frank Hadow,/en/players/frank-hadow/hg50/overview,frank-hadow,hg50,,,,,,,,
1879,1,Wimbledon,540,wimbledon,"London, Great Britain",1879.07.07,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1879/results,John Hartley,/en/players/john-hartley/hg35/overview,john-hartley,hg35,,,,,,,,
1880,1,Wimbledon,540,wimbledon,"London, Great Britain",1880.07.05,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1880/results,John Hartley,/en/players/john-hartley/hg35/overview,john-hartley,hg35,,,,,,,,
1881,1,Wimbledon,540,wimbledon,"London, Great Britain",1881.07.02,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1881/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1881,2,US Championships,560,us-open,"Newport, United States",1881.08.31,32,32,Outdoor,Grass,,/en/scores/archive/us-open/560/1881/results,William Glyn,/en/players/william-glyn/gj02/overview,william-glyn,gj02,,,,,,,,
1882,1,Wimbledon,540,wimbledon,"London, Great Britain",1882.07.08,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1882/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1882,2,US Championships,560,us-open,"Newport, United States",1882.08.30,64,64,Outdoor,Grass,,/en/scores/archive/us-open/560/1882/results,Clarence Clark,/en/players/clarence-clark/cm63/overview,clarence-clark,cm63,,,,,,,,
1883,1,Wimbledon,540,wimbledon,"London, Great Britain",1883.07.07,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1883/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1883,2,US Championships,560,us-open,"Newport, United States",1883.08.21,32,32,Outdoor,Grass,,/en/scores/archive/us-open/560/1883/results,James Dwight,/en/players/james-dwight/dg24/overview,james-dwight,dg24,,,,,,,,
1884,1,Wimbledon,540,wimbledon,"London, Great Britain",1884.07.05,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1884/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1884,2,US Championships,560,us-open,"Newport, United States",1884.08.27,64,64,Outdoor,Grass,,/en/scores/archive/us-open/560/1884/results,Howard Taylor,/en/players/howard-taylor/tg02/overview,howard-taylor,tg02,,,,,,,,
1885,1,Wimbledon,540,wimbledon,"London, Great Britain",1885.07.04,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1885/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1885,2,US Championships,560,us-open,"Newport, United States",1885.08.18,32,32,Outdoor,Grass,,/en/scores/archive/us-open/560/1885/results,Godfrey Brinley,/en/players/godfrey-brinley/bt27/overview,godfrey-brinley,bt27,,,,,,,,
1886,1,Wimbledon,540,wimbledon,"London, Great Britain",1886.07.03,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1886/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1886,2,US Championships,560,us-open,"Newport, United States",1886.08.23,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1886/results,R. Livingston Beeckman,/en/players/r-livingston-beeckman/lh26/overview,r-livingston-beeckman,lh26,,,,,,,,
1887,1,Wimbledon,540,wimbledon,"London, Great Britain",1887.07.02,17,17,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1887/results,Herbert Lawford,/en/players/herbert-lawford/lg94/overview,herbert-lawford,lg94,,,,,,,,
1887,2,US Championships,560,us-open,"Newport, United States",1887.08.22,17,17,Outdoor,Grass,,/en/scores/archive/us-open/560/1887/results,Henry Slocum,/en/players/henry-slocum/sw16/overview,henry-slocum,sw16,,,,,,,,
1888,1,Wimbledon,540,wimbledon,"London, Great Britain",1888.07.10,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1888/results,Ernest Renshaw,/en/players/ernest-renshaw/rg47/overview,ernest-renshaw,rg47,,,,,,,,
1888,2,US Championships,560,us-open,"Newport, United States",1888.08.20,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1888/results,Henry Slocum,/en/players/henry-slocum/sw16/overview,henry-slocum,sw16,,,,,,,,
