2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Finals,1,1,Grigor Dimitrov,d875,grigor-dimitrov,Kei Nishikori,n552,kei-nishikori,7,3,62 26 63,2,1,14,11,0,0,2017-339-d875-n552,/en/scores/2017/339/MS001/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Semi-Finals,2,1,Grigor Dimitrov,d875,grigor-dimitrov,Milos Raonic,r975,milos-raonic,7,1,76(7) 62,2,0,13,8,1,0,2017-339-d875-r975,/en/scores/2017/339/MS002/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Semi-Finals,2,2,Kei Nishikori,n552,kei-nishikori,Stan Wawrinka,w367,stan-wawrinka,3,2,76(3) 63,2,0,13,9,1,0,2017-339-n552-w367,/en/scores/2017/339/MS003/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Quarter-Finals,3,1,Milos Raonic,r975,milos-raonic,Rafael Nadal,n409,rafael-nadal,1,5,46 63 64,2,1,16,13,0,0,2017-339-r975-n409,/en/scores/2017/339/MS004/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Quarter-Finals,3,2,Stan Wawrinka,w367,stan-wawrinka,Kyle Edmund,e831,kyle-edmund,2,,67(2) 64 64,2,1,18,15,0,1,2017-339-w367-e831,/en/scores/2017/339/MS007/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Quarter-Finals,3,3,Kei Nishikori,n552,kei-nishikori,Jordan Thompson,tc61,jordan-thompson,3,WC,61 61,2,0,12,2,0,0,2017-339-n552-tc61,/en/scores/2017/339/MS006/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Quarter-Finals,3,4,Grigor Dimitrov,d875,grigor-dimitrov,Dominic Thiem,tb69,dominic-thiem,7,4,63 46 63,2,1,16,12,0,0,2017-339-d875-tb69,/en/scores/2017/339/MS005/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Round of 16,4,1,Milos Raonic,r975,milos-raonic,Diego Schwartzman,sm37,diego-schwartzman,1,,63 62,2,0,12,5,0,0,2017-339-r975-sm37,/en/scores/2017/339/MS008/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Round of 16,4,2,Stan Wawrinka,w367,stan-wawrinka,Viktor Troicki,t840,viktor-troicki,2,,76(5) 64,2,0,13,10,1,0,2017-339-w367-t840,/en/scores/2017/339/MS015/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Round of 16,4,3,Kei Nishikori,n552,kei-nishikori,Jared Donaldson,dc58,jared-donaldson,3,Q,46 64 63,2,1,16,13,0,0,2017-339-n552-dc58,/en/scores/2017/339/MS013/match-stats
2017-339,1,brisbane,/en/scores/archive/brisbane/339/2017/results,Round of 16,4,4,Dominic Thiem,tb69,dominic-thiem,Sam Groth,g940,sam-groth,4,WC,76(5) 63,2,0,13,9,1,0,2017-339-tb69-g940,/en/scores/2017/339/MS010/match-stats
