1877-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1877.07.09,1877,7,9,32,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1877/results,Spencer Gore,/en/players/spencer-gore/gi91/overview,spencer-gore,gi91,,,,,,,,
1878-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1878.07.08,1878,7,8,64,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1878/results,Frank Hadow,/en/players/frank-hadow/hg50/overview,frank-hadow,hg50,,,,,,,,
1879-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1879.07.07,1879,7,7,64,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1879/results,John Hartley,/en/players/john-hartley/hg35/overview,john-hartley,hg35,,,,,,,,
1880-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1880.07.05,1880,7,5,64,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1880/results,John Hartley,/en/players/john-hartley/hg35/overview,john-hartley,hg35,,,,,,,,
1881-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1881.07.02,1881,7,2,64,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1881/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1881-560,2,Grand Slam,US Championships,560,us-championships,"Newport, United States",1881.08.31,1881,8,31,32,0,Outdoor,Grass,,,,/en/scores/archive/us-championships/560/1881/results,William Glyn,/en/players/william-glyn/gj02/overview,william-glyn,gj02,,,,,,,,
1882-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1882.07.08,1882,7,8,32,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1882/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1882-560,2,Grand Slam,US Championships,560,us-championships,"Newport, United States",1882.08.30,1882,8,30,64,0,Outdoor,Grass,,,,/en/scores/archive/us-championships/560/1882/results,Clarence Clark,/en/players/clarence-clark/cm63/overview,clarence-clark,cm63,,,,,,,,
1883-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1883.07.07,1883,7,7,32,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1883/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
1883-560,2,Grand Slam,US Championships,560,us-championships,"Newport, United States",1883.08.21,1883,8,21,32,0,Outdoor,Grass,,,,/en/scores/archive/us-championships/560/1883/results,James Dwight,/en/players/james-dwight/dg24/overview,james-dwight,dg24,,,,,,,,
1884-540,1,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain",1884.07.05,1884,7,5,32,0,Outdoor,Grass,,,,/en/scores/archive/wimbledon/540/1884/results,William Renshaw,/en/players/william-renshaw/rg71/overview,william-renshaw,rg71,,,,,,,,
